LAT;LONG;NAME
10.69168;3.044222;KINKAOSOUARA
10.770301;3.710061;KINSON
10.023934;3.010504;KINTA
10.875398;3.64602;KIZANA
10.336261;3.262529;PEONGA
10.164888;3.390406;OTOLODIEU
10.643991;3.670365;NINKASSA
10.643991;3.670365;NINKOSSO
10.38809;3.217258;YENEKASSE
10.285416;3.38395;YOUGOUROKPAROU
10.767288;3.652852;ZIBO
10.56983;3.131251;ZINBA
10.56983;3.131251;ZIMBA
10.805785;3.672607;ZONA
10.535802;3.112579;ZONA
10.662045;3.640498;GANPASSA
10.662045;3.640498;GAMPASSA
10.02301;3.057731;GANROU
10.674115;3.810812;GAO
10.829712;3.69507;GARAKOUNZI
10.34892;3.199758;GARI
10.40678;3.557191;GAWINA
10.40678;3.557191;GAOUINO
10.397073;3.572753;GAWINZI
10.397073;3.572753;GAOUENZI
10.445147;3.313355;GBAKENA
10.492065;3.393708;GBANANA
10.492065;3.393708;GBONENA
10.339831;3.291295;GBASSI
10.37586;3.269672;GBEDAKPAROU
10.775398;3.078172;GBEGUA
10.140498;3.489523;GBEHI
10.517515;3.304777;GBEHI
10.523857;3.127016;GBEHI
10.921521;3.471906;GBEKE
10.404315;3.245994;GBEMI
10.038341;3.182948;SOBABINKBEROU
10.038341;3.182948;SOBABINGBEROU
10.702102;3.792052;SOATIN
10.165104;3.259352;SISSONA
10.949461;3.241037;KOFENA
10.81659;3.676246;KONI
10.81659;3.676246;KOUI
10.839034;3.710119;KONOYE
10.682871;3.287185;KORO
10.873164;3.673447;KOROHUI
10.483179;3.307088;KOUANA
10.802466;3.726169;KOUIN
10.687076;3.800443;KIURE
10.687076;3.800443;KUDE
10.687076;3.800443;KOUTE
10.687076;3.800443;KIOURE
10.687076;3.800443;KOUTE
10.719364;3.214895;KOUYA
10.498536;3.109811;KPA
10.618824;3.249615;KPAKA
10.762815;3.068824;KPAKA
10.268285;3.332898;KPEROUALOU
10.777862;3.743657;KPOUA
10.314356;3.113817;KRIKOUBE
10.480252;3.11374;LAFIAROU
10.890755;3.14227;GBENA
10.421213;3.016051;GBESSAROUPEROU
10.984104;3.282101;GBESSE
10.984104;3.282101;GBASSE
10.984104;3.282101;BESSE
10.984104;3.282101;GBASSA
10.931767;3.153493;GBESSE
10.748459;3.054854;GBESSEDAROU
10.99091;3.25678;GBINA
10.585413;3.534104;GBINNENA
10.585413;3.534104;GBENENA
10.980098;3.535413;GINDOGA
10.980098;3.535413;GUINDOGA
10.726631;3.602234;GOBIJOKPAROU
10.112815;3.348691;GONA
10.905162;3.20339;GONANA
10.067361;3.277478;GOROBANE
10.476297;3.549845;GOUANA
10.539882;3.602697;GOUANA
10.579404;3.726246;GOUANA
10.302466;3.165974;GOUNAKPAROU
10.036489;3.205452;SANKOU
10.957261;3.749791;SANINBA
10.957261;3.749791;SANIMBA
10.312738;3.020057;LASSE
10.789836;3.583703;LIBANTE
10.787505;3.590662;LIBANTEGANDO
10.920982;3.485721;LIBOUSSOU
10.323447;3.459784;LU
10.323447;3.459784;LOU
10.870982;3.680175;LOUANZI
10.339985;3.517284;LOUGANDO
10.84245;3.606009;LOUGOUNZI
10.663971;3.200848;LOUNA
10.445917;3.768516;LOUZI
10.455932;3.766359;LOUZI
10.136338;3.182948;MADIANA
10.824525;3.325398;MAGA
10.040601;3.241757;MAGANIKOKA
10.618054;3.579404;MANAGBASSO
10.218054;3.286107;MARIGUIRA
10.218054;3.286107;MARIGUINTA
10.232563;3.269903;MATCHORE
10.232563;3.269903;MATIORE
10.152851;3.279866;MATIOUKPAROU
10.246456;3.03264;MINEKOUDAROU
10.905547;3.766205;MOINA
10.922908;3.737416;GOUSSINSARE
10.922908;3.737416;GOUSSISSARE
10.494376;3.736877;GOUZANA
10.391808;3.167515;GROBANI
10.403082;3.148691;GUEMA
10.159348;3.200385;GUENEBE
10.681407;3.829096;GUENESSOA
10.93133;3.316744;GUEZI
10.712661;3.519441;GUINA
10.187648;3.275937;GUIRI
10.969595;3.635876;GUIVANBARA
10.969595;3.635876;GUIFAMBARA
10.786954;3.487493;IFOU
10.278403;3.389908;ILONI
10.781998;3.213996;IMINA
10.909682;3.16433;INIENA
10.615281;3.578557;IPOUNA
10.130945;3.266436;ISSI
10.597073;3.507935;ITIN
10.139496;3.480021;JANKO
10.028172;3.495147;JASSI
10.734514;3.72489;SASSANA
10.66921;3.210976;SANA
10.66921;3.210976;NASSI
10.640264;3.316099;MOROU
10.640264;3.316099;MOUROU
10.640264;3.316099;MURU
10.640264;3.316099;MONROU
10.640264;3.316099;MONRAU
10.717006;3.808994;MOUNPOU
10.05208;3.037725;MOUSSOURI
10.285953;3.348614;MONTNAFA
10.148305;3.25208;NAROUBE
10.364818;3.376554;NASSIBOURGOU
10.322643;3.407204;NASSIKONSI
10.322643;3.407204;NASSIKOUSSI
10.325912;3.40619;NASSIKOU
10.608424;3.167515;NEGUE
10.74245;3.642913;NIAMMBARA
10.74245;3.642913;NIAMBARA
10.447381;3.78002;NIASSA
10.433718;3.777941;NIASSALE
10.315512;3.501772;NIASSI
10.326708;3.250335;NIENESSANI
10.392604;3.511506;NIGUO
10.366391;3.160965;MOULARE
10.164654;3.055394;DABOUANA
10.843298;3.090421;NIONE
10.444993;3.055008;NOGOU
10.235336;3.31451;OROKEKEKPAROU
10.613586;3.689111;OUBOUREKO
10.622368;3.678634;PANDA
10.320596;3.026477;PARAKOU
10.918285;3.772291;PARENA
10.863355;3.701079;PASSAOU
10.674088;3.5;PASSINA
10.727709;3.533487;PASSOUANA
10.633333;1.783333;LAMBUTI
10.633333;1.783333;LAMBOUTI
10.633333;1.783333;LAMBOUNTI
10.633333;1.783333;DAMMBOUTI
10.833333;1.1;TALE
10.416667;2.75;TAKOU
9.916667;2.783333;TIMMBOIROU
10.35;2.15;DOUGOUNDERO
9.316667;2.55;KABOROKPO
11.133333;2.766667;KABAYEDOU
10.766667;1.1;OUTOUOLI
9.4;2.583333;OUROUNGOUROU
10.816667;2.683333;DONIARO
10.3;.8;NIEMPIRE
7.066667;1.966667;AGBANGNIZOUN
7.066667;1.966667;AGBAGNIZON
8.316667;2.683333;AGBAGBA
9.166667;2.183333;TOUNKPEROU
9.533333;3.066667;MAYARO
7.383333;1.8;ASSANGANLINGON
10.45;2.966667;BATIN
9.983333;1.416667;DONFOOURHATARHOU
7.316667;1.766667;KPIN
9.3;2.183333;KPESSOU
6.8;1.733333;DOGBOHAHOME
6.566667;2.016667;DODOME
9.566667;1.5;KPELOU
9.7;1.483333;TIAKENARE
10.616667;1.416667;TIADANFAGA
10.583333;1.016667;BANFILI
11.416667;2.316667;SAHO
9.4;2.066667;BAKOU
8.883333;2.6;TCHAOUROU
8.883333;2.6;CHAURU
9.483333;1.45;MAKPALADO
9.483333;1.45;AKPALODO
7.116667;1.916667;AKONHOUM
10.3;2.583333;FORETCLASSEEDEWENOUBENOU
10.916667;2.583333;NAHO
11.2;2.416667;NAFIAROU
11.2;2.416667;NAFAROU
9.133333;1.833333;KEMETOU
10.816667;.983333;KOUSSEGA
8.666667;2.683333;OKORIKO
8.4;2.416667;OKELE
10.366667;1.55;WATIPONGA
10.366667;1.55;OUYATPOUNGA
9.283333;2.416667;WASSAMO
11.166667;2.283333;GBANGBANGA
9.766667;2.5;GAYAKASSO
9.9;3.15;MOUNIAROU
9.116667;2.1;KPAME
9.716667;1.516667;MASSABORA
6.916667;2.016667;TCHITO
11.4;2.383333;POTOTOUMARA
9.3;2.666667;BAKAGA
7.283333;1.8;HONVE
9.55;1.516667;MIAMI
9.55;1.516667;MAMMI
11.383333;2.55;POGUIROU
11.533333;2.683333;POBINSON
7.85;2.233333;HENHIME
7.466667;1.816667;HANAGBO
9.566667;1.466667;LOLOUNGBORHO
11.333333;2.966667;GABASSON
7.333333;1.883333;AOUIANGON
9.533333;1.366667;ANIRA
9.516667;1.616667;YARLIRO
11.183333;2.866667;GONA
11.416667;2.583333;NIANDOKO
9.033333;2.5;ADOHOUKPAROU
8.933333;2.216667;TOUI
8.933333;2.216667;TOUE
10.65;3;TOUANA
8.283333;1.9;AMOADIOU
10.816667;1.533333;YANAFAGA
10.3;1.033333;YAKOUENNTCHIE
11;1.4;KOOBOANGKIANGA
10.366667;2.8;BOUIPIKOUROU
9.433333;1.616667;BOUGOU
9.433333;1.616667;PIOUGOU
7.983333;1.75;KOLOBI
9.916667;1.666667;SAYANANGA
6.566667;2.583333;MISSERETE
7.116667;1.983333;MIGNONHITO
7.933333;1.966667;OUESSE
10.8;1.983333;KOUROU
9.733333;2.5;SONDARI
10.2;2.866667;BUARI
10.2;2.866667;BOUARI
10.2;2.866667;BOUANRI
7.416667;1.75;BOSOUAKIDIGBA
9.566667;2.983333;MOUNDOURO
8.833333;2.416667;ODODTOKOU
10.633333;1.283333;YETAMOUTE
6.8;2.133333;COLI
9.566667;1.566667;KOTODIERA
9.55;1.866667;SETMSIKPEMRHOU
9.55;1.866667;SETIMSI
9.883333;1.483333;SEROUA
9.583333;1.766667;BIGNIGOLROU
9.583333;1.766667;BINYIKOULRHOU
